pref_name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
hokkaido,3.361577979,3.358850682,3.258960432,3.251657003,3.25130761,3.289268618,3.295274843,3.391241508,3.390344633,3.453063725,3.43348497,3.500051503
aomori,3.188011502,3.199126231,3.020640211,3.080294329,3.121934934,3.172232125,3.247728957,3.237739821,3.265461108,3.392209529,3.401206058,3.358291422
iwate,3.037817937,3.07109045,2.967162949,2.931883204,2.96019688,3.058406559,3.198301095,3.344756709,3.390200878,3.439777773,3.441647549,3.55208882
miyagi,3.498429605,3.438388637,3.311690152,3.257286383,3.309342827,3.327560674,3.639521883,3.778575687,3.856019063,3.944303074,3.930012188,3.961979921
akita,3.051180418,3.058924738,2.92133151,2.912015882,2.979704364,3.078753483,3.087998969,3.142196576,3.166921276,3.21288335,3.285939081,3.453117514
yamagata,3.12091032,3.267546682,3.04373721,2.977276026,3.134637496,3.181138586,3.244230054,3.398829523,3.344115186,3.436184648,3.554660864,3.789647626
fukushima,3.685260125,3.674889721,3.549992136,3.43333624,3.463317569,3.321111571,3.602009555,3.870378886,3.958625543,4.043668389,4.107830552,4.114422781
ibaraki,3.924975766,4.110921767,4.018965662,3.788725764,3.978456581,4.196062247,4.125665002,4.113076647,4.142978148,4.238444197,4.273667196,4.561059899
tochigi,4.039888041,4.094039849,3.920993444,3.865895509,4.022875623,4.046982134,3.998724671,4.252605069,4.185350455,4.344063457,4.364832312,4.519132203
gunma,3.724646345,3.860774179,3.774815724,3.652252638,3.806469701,3.86382451,3.876422431,4.025339138,4.048612641,4.157612709,4.206279495,4.388669227
saitama,2.936310386,2.954894162,2.890220964,2.818980593,2.892376541,2.996067508,2.944592859,2.998575587,2.963879252,3.019816325,3.034105552,3.131933372
chiba,3.154741357,3.206312795,3.111396761,3.058711804,3.041117136,3.074072978,3.072467319,3.23952803,3.161700183,3.159279479,3.153792542,3.228426897
tokyo,7.924076018,7.896201057,7.690608119,7.311348947,7.397203882,7.604987682,7.61963274,7.723114808,7.549400611,7.682277477,7.675848325,7.678397068
kanagawa,3.752735033,3.831473315,3.714964624,3.425006901,3.5718028,3.650630894,3.593037246,3.608837946,3.527112764,3.642428942,3.705064375,3.781773118
niigata,3.617547424,3.650135188,3.50556055,3.450330315,3.529688138,3.58621648,3.590116115,3.680427682,3.61863062,3.668285405,3.7148211,3.804321958
toyama,3.985755052,4.04316017,3.856085499,3.640521983,3.926523466,4.013335343,3.98499671,4.046643594,4.042554462,4.10837097,4.074872347,4.193042266
ishikawa,3.648428122,3.701158089,3.618955438,3.434465549,3.502089267,3.519935439,3.578342713,3.709242821,3.737148231,3.861543421,3.877112952,3.954233898
fukui,4.170532023,4.251956523,4.12656884,4.028347447,4.186586119,4.206459894,3.94254813,3.990880798,3.810259257,4.008059842,3.961740057,4.134627117
yamanashi,3.59042465,3.638567422,3.57919183,3.356831573,3.672714422,3.731888427,3.574155247,3.664405955,3.68061822,3.793963566,3.879991515,4.063779783
nagano,3.561206915,3.661306098,3.498742134,3.427457356,3.560035104,3.669863224,3.599354875,3.657681547,3.697266425,3.826646986,3.836491201,3.961714167
gifu,3.588767868,3.612353707,3.48124019,3.33658698,3.421501529,3.487252772,3.502966746,3.4750569,3.507532872,3.575455128,3.628311288,3.751874971
shizuoka,4.444412853,4.524403265,4.354246465,4.061670609,4.249797676,4.345155037,4.328275277,4.413455078,4.330237898,4.399377889,4.470230509,4.569199555
aichi,5.106541076,5.237656482,4.702285687,4.471973063,4.501105223,4.716877305,4.907967011,5.007764982,4.968512807,5.00342437,5.00234038,5.133037616
mie,3.9538082,4.129845863,3.882444831,3.727854321,3.984212745,4.01107228,4.150883108,4.310980708,4.1680308,4.18209944,4.326916398,4.428781632
shiga,4.126803838,4.208111652,4.109143371,3.988619615,4.193604659,4.167407991,4.045600042,4.129805066,4.124062247,4.198778271,4.36102645,4.494002243
kyoto,3.673597282,3.876143927,3.661132958,3.553613203,3.628563419,3.706613099,3.692221695,3.692514446,3.740083397,3.905038514,3.960769171,4.041467901
osaka,4.353525138,4.356433196,4.205612112,4.060993961,4.137547693,4.23961818,4.212769912,4.24205774,4.2245496,4.288081105,4.289693917,4.417275491
hyogo,3.537347463,3.553944203,3.495360799,3.255162578,3.467064581,3.473818517,3.506475482,3.569153184,3.594924316,3.644885633,3.677568672,3.768698287
nara,2.559236023,2.589769366,2.509665771,2.432852725,2.526342016,2.487162596,2.487047364,2.54056205,2.537084097,2.551864084,2.623666704,2.680179197
wakayama,3.51603307,3.502915145,3.43119428,3.287832659,3.452785777,3.582251443,3.627443719,3.705278093,3.559404373,3.466719387,3.653696543,3.508333783
tottori,3.207393352,3.122648624,3.038911667,2.979643018,2.935579878,2.948851269,2.956522634,3.029199271,3.015993301,3.109957258,3.169379901,3.283479378
shimane,3.23931035,3.335217159,3.133374772,3.176891547,3.237988171,3.314164034,3.264766161,3.326128474,3.340707914,3.461392781,3.495549207,3.487028157
okayama,3.960213829,3.929403597,3.678967441,3.557762529,3.57948178,3.80953848,3.722644792,3.895739516,3.801679858,3.900217275,3.835660605,3.933813459
hiroshima,3.813981606,4.006630188,3.738176413,3.571534902,3.636834047,3.783287304,3.630267334,3.700941394,3.835619085,3.943479759,3.997510704,4.03161274
yamaguchi,3.911987567,4.015091044,3.885839474,3.7829272,3.988790344,4.03170208,4.050839575,4.222134962,4.228166436,4.010260342,4.310809667,4.458076175
tokushima,3.497374308,3.501010919,3.494819752,3.488180025,3.667266716,3.74533213,3.717678792,3.875505226,3.929576911,3.989684187,4.009229834,4.133098263
kagawa,3.63533056,3.711412852,3.565052236,3.584805995,3.558043344,3.770467603,3.796313641,3.75950795,3.723823796,3.749741617,3.801633143,3.877114461
ehime,3.319681257,3.303996476,3.173873635,3.152184103,3.265816179,3.474274189,3.247533946,3.3821642,3.35071181,3.418787926,3.50573345,3.623963855
kochi,2.922139074,2.93361781,2.873424678,2.863373719,2.908022175,2.954408895,2.974027583,3.093171504,3.116129418,3.173284579,3.20933684,3.25668079
fukuoka,3.495442796,3.578154313,3.446442621,3.468187222,3.566328494,3.575862428,3.520637564,3.563853125,3.540470816,3.602958784,3.63556962,3.71871723
saga,3.230894658,3.364098394,3.240737584,3.063576996,3.235237495,3.196928375,3.129512884,3.208223004,3.224552407,3.360749827,3.370969942,3.470373513
nagasaki,2.851083274,2.914399341,2.877375756,2.902964612,2.989889815,3.015983494,2.982913296,3.006557696,2.903118918,3.158982041,3.225114721,3.248929498
kumamoto,2.893399226,2.972156402,2.877103084,2.839221432,2.933781073,3.030402513,3.026769633,3.060711631,3.033190258,3.073567466,3.207466665,3.312607098
oita,3.337519013,3.407120217,3.410018849,3.192509315,3.457518372,3.506538267,3.52380844,3.580756188,3.579392896,3.623117827,3.579788073,3.728838271
miyazaki,2.903853932,3.029845666,3.021837713,2.944389258,2.905727723,3.008450348,3.036215474,3.145769067,3.165992911,3.217518108,3.271391963,3.33447804
kagoshima,2.957684832,2.969954927,2.880003022,2.790947873,2.82005249,2.9271285,2.899338668,3.00505283,3.019290761,3.104336488,3.14268595,3.251189216
okinawa,2.636437809,2.631703741,2.584957625,2.587768592,2.59952054,2.629895312,2.636680746,2.731760989,2.70842119,2.839779961,2.920218878,2.956410988
