pref_name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
hokkaido,,-0.000811314,-0.029739414,-0.00224103,-0.000107451,0.011675613,0.001826006,0.029122507,-0.000264468,0.018499326,-0.005669966,0.019387454
aomori,,0.003486414,-0.055792115,0.019748833,0.013518385,0.016110903,0.023799277,-0.00307573,0.008561925,0.038814862,0.002652115,-0.012617476
iwate,,0.010952767,-0.033840586,-0.01189006,0.009657164,0.033176739,0.045740987,0.045791691,0.013586689,0.014623586,0.000543574,0.032089652
miyagi,,-0.017162263,-0.036848215,-0.016427796,0.015981537,0.005504974,0.09375072,0.038206613,0.020495388,0.022895118,-0.003623171,0.008134258
akita,,0.002538139,-0.044980913,-0.00318883,0.023244544,0.033241257,0.003002996,0.017551044,0.007868604,0.014513172,0.02273837,0.050876912
yamagata,,0.046985125,-0.068494652,-0.021835388,0.052854176,0.014834599,0.019832983,0.04765367,-0.016097994,0.027531785,0.034479002,0.066106661
fukushima,,-0.002814022,-0.033986757,-0.032860889,0.008732419,-0.041060629,0.084579508,0.074505447,0.022800521,0.021482923,0.015867316,0.001604796
ibaraki,,0.04737507,-0.022368731,-0.057288347,0.050077738,0.054696001,-0.016776978,-0.00305123,0.007269862,0.023042856,0.00831036,0.067247329
tochigi,,0.013404285,-0.042267885,-0.014052034,0.040606404,0.005992358,-0.011924308,0.063490342,-0.015814921,0.037921078,0.004780974,0.035350703
gunma,,0.036547855,-0.022264564,-0.032468628,0.04222519,0.015067717,0.00326048,0.038416016,0.005781749,0.02692282,0.011705464,0.043361296
saitama,,0.006328955,-0.021886807,-0.024648763,0.026036344,0.035849747,-0.017180737,0.018332832,-0.011570939,0.018872926,0.00473182,0.032242721
chiba,,0.016347279,-0.029602862,-0.016932896,-0.005752313,0.010836755,-0.000522323,0.05437347,-0.02402444,-0.000765634,-0.001736768,0.023664954
tokyo,,-0.003517755,-0.026036943,-0.049314588,0.011742694,0.028089506,0.001925717,0.013580978,-0.022492764,0.017600982,-0.000836881,0.000332047
kanagawa,,0.020981573,-0.030408326,-0.078051274,0.04286003,0.022069554,-0.015776355,0.004397589,-0.022645844,0.032694213,0.017196062,0.020703754
niigata,,0.009008248,-0.039608023,-0.015755037,0.023000066,0.016015109,0.001087395,0.025155612,-0.016790729,0.013721982,0.012685953,0.024092912
