pref_name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
hokkaido," 5,604,968"," 5,578,858"," 5,548,114"," 5,523,526"," 5,506,419"," 5,488,473"," 5,465,088"," 5,438,288"," 5,410,214"," 5,381,733"," 5,351,828"," 5,320,082"
aomori," 1,423,748"," 1,409,297"," 1,395,383"," 1,383,485"," 1,373,339"," 1,363,230"," 1,350,371"," 1,336,726"," 1,322,706"," 1,308,265"," 1,293,470"," 1,278,490"
iwate," 1,374,956"," 1,364,051"," 1,351,918"," 1,340,110"," 1,330,147"," 1,314,664"," 1,305,782"," 1,298,507"," 1,289,687"," 1,279,594"," 1,267,993"," 1,254,847"
miyagi," 2,357,687"," 2,353,535"," 2,349,362"," 2,347,804"," 2,348,165"," 2,326,311"," 2,328,968"," 2,333,321"," 2,334,948"," 2,333,899"," 2,330,120"," 2,323,325"
akita," 1,134,047"," 1,121,159"," 1,108,576"," 1,096,607"," 1,085,997"," 1,074,835"," 1,062,717"," 1,050,180"," 1,036,884"," 1,023,119"," 1,009,806"," 995,649"
yamagata," 1,207,399"," 1,198,161"," 1,187,913"," 1,178,227"," 1,168,924"," 1,162,055"," 1,153,347"," 1,143,807"," 1,134,097"," 1,123,891"," 1,113,109"," 1,101,699"
fukushima," 2,080,194"," 2,067,480"," 2,053,773"," 2,041,454"," 2,029,064"," 1,987,602"," 1,957,150"," 1,939,846"," 1,926,986"," 1,914,039"," 1,900,760"," 1,882,300"
ibaraki," 2,974,079"," 2,973,420"," 2,971,001"," 2,969,638"," 2,969,770"," 2,959,708"," 2,947,360"," 2,937,282"," 2,926,685"," 2,916,976"," 2,904,590"," 2,892,201"
tochigi," 2,016,444"," 2,016,241"," 2,015,010"," 2,010,917"," 2,007,683"," 1,999,973"," 1,991,643"," 1,985,744"," 1,979,925"," 1,974,255"," 1,966,032"," 1,956,910"
gunma," 2,022,312"," 2,019,611"," 2,017,219"," 2,013,617"," 2,008,068"," 2,001,344"," 1,993,857"," 1,986,137"," 1,979,444"," 1,973,115"," 1,967,292"," 1,959,831"
saitama," 7,079,239"," 7,106,242"," 7,136,317"," 7,161,304"," 7,194,556"," 7,209,169"," 7,216,272"," 7,228,239"," 7,247,026"," 7,266,534"," 7,289,429"," 7,309,629"
chiba," 6,083,881"," 6,118,748"," 6,152,836"," 6,180,052"," 6,216,289"," 6,217,004"," 6,200,257"," 6,200,982"," 6,208,719"," 6,222,666"," 6,235,725"," 6,245,613"
tokyo," 12,704,115"," 12,848,310"," 12,973,259"," 13,048,003"," 13,159,388"," 13,198,315"," 13,234,383"," 13,307,028"," 13,399,237"," 13,515,271"," 13,623,937"," 13,723,799"
kanagawa," 8,845,689"," 8,911,651"," 8,964,582"," 9,006,282"," 9,048,331"," 9,059,848"," 9,070,319"," 9,083,762"," 9,102,650"," 9,126,214"," 9,144,504"," 9,158,670"
niigata," 2,420,002"," 2,408,133"," 2,395,986"," 2,384,694"," 2,374,450"," 2,363,997"," 2,350,351"," 2,335,753"," 2,320,320"," 2,304,264"," 2,285,937"," 2,266,519"
toyama," 1,110,499"," 1,106,738"," 1,102,884"," 1,097,508"," 1,093,247"," 1,088,236"," 1,083,429"," 1,077,447"," 1,071,709"," 1,066,328"," 1,061,273"," 1,055,976"
ishikawa," 1,172,992"," 1,172,794"," 1,172,128"," 1,170,537"," 1,169,788"," 1,166,641"," 1,163,516"," 1,160,360"," 1,156,903"," 1,154,008"," 1,150,878"," 1,147,465"
fukui," 819,588"," 816,883"," 813,818"," 809,632"," 806,314"," 803,202"," 799,504"," 795,574"," 790,837"," 786,740"," 782,411"," 778,595"
yamanashi," 880,302"," 876,797"," 870,658"," 866,916"," 863,075"," 857,449"," 852,320"," 847,226"," 841,125"," 834,930"," 829,708"," 823,333"
nagano," 2,189,483"," 2,181,858"," 2,172,728"," 2,162,080"," 2,152,449"," 2,142,409"," 2,132,301"," 2,122,398"," 2,110,496"," 2,098,804"," 2,088,065"," 2,075,807"
gifu," 2,104,872"," 2,103,660"," 2,099,968"," 2,091,192"," 2,080,773"," 2,071,313"," 2,062,192"," 2,052,712"," 2,042,780"," 2,031,903"," 2,021,872"," 2,008,298"
shizuoka," 3,795,023"," 3,796,029"," 3,792,896"," 3,782,596"," 3,765,007"," 3,751,546"," 3,739,249"," 3,729,878"," 3,714,610"," 3,700,305"," 3,687,668"," 3,675,356"
aichi," 7,306,825"," 7,356,938"," 7,398,781"," 7,411,370"," 7,410,719"," 7,418,388"," 7,431,357"," 7,449,212"," 7,463,860"," 7,483,128"," 7,506,900"," 7,524,759"
mie," 1,871,501"," 1,873,144"," 1,871,164"," 1,864,156"," 1,854,724"," 1,847,316"," 1,840,544"," 1,833,461"," 1,825,701"," 1,815,865"," 1,808,236"," 1,799,620"
shiga," 1,389,745"," 1,397,841"," 1,404,657"," 1,408,564"," 1,410,777"," 1,413,236"," 1,414,275"," 1,415,199"," 1,414,419"," 1,412,916"," 1,412,830"," 1,412,528"
kyoto," 2,646,326"," 2,642,761"," 2,640,062"," 2,637,009"," 2,636,092"," 2,633,168"," 2,627,976"," 2,621,850"," 2,615,689"," 2,610,353"," 2,605,349"," 2,599,167"
osaka," 8,828,334"," 8,838,725"," 8,846,687"," 8,854,811"," 8,865,245"," 8,863,451"," 8,860,750"," 8,856,044"," 8,845,195"," 8,839,469"," 8,832,512"," 8,823,286"
hyogo," 5,592,495"," 5,592,816"," 5,592,019"," 5,590,569"," 5,588,133"," 5,584,252"," 5,575,415"," 5,564,516"," 5,550,385"," 5,534,800"," 5,519,963"," 5,503,111"
nara," 1,416,849"," 1,412,542"," 1,407,389"," 1,403,847"," 1,400,728"," 1,395,064"," 1,388,173"," 1,380,909"," 1,372,556"," 1,364,316"," 1,356,319"," 1,347,564"
wakayama," 1,028,967"," 1,021,047"," 1,014,000"," 1,007,714"," 1,002,198"," 995,326"," 988,350"," 980,392"," 972,420"," 963,579"," 954,013"," 944,889"
tottori," 604,489"," 600,659"," 596,325"," 592,131"," 588,667"," 586,212"," 583,223"," 579,809"," 576,804"," 573,441"," 569,554"," 565,124"
shimane," 737,302"," 732,552"," 727,184"," 721,182"," 717,397"," 712,876"," 707,987"," 703,738"," 698,842"," 694,352"," 689,877"," 684,868"
okayama," 1,956,333"," 1,955,992"," 1,953,400"," 1,948,521"," 1,945,276"," 1,941,085"," 1,937,090"," 1,931,729"," 1,926,234"," 1,921,525"," 1,914,617"," 1,907,140"
hiroshima," 2,874,920"," 2,873,976"," 2,869,772"," 2,864,385"," 2,860,750"," 2,858,342"," 2,854,860"," 2,849,709"," 2,846,474"," 2,843,990"," 2,837,348"," 2,828,733"
yamaguchi," 1,484,438"," 1,475,776"," 1,466,365"," 1,459,128"," 1,451,338"," 1,444,227"," 1,434,178"," 1,424,850"," 1,415,195"," 1,404,729"," 1,394,400"," 1,382,901"
tokushima," 805,502"," 800,262"," 794,653"," 789,934"," 785,491"," 779,906"," 774,855"," 768,715"," 762,534"," 755,733"," 750,176"," 743,323"
kagawa," 1,009,166"," 1,005,866"," 1,002,748"," 999,381"," 995,842"," 991,738"," 988,672"," 984,860"," 980,251"," 976,263"," 972,113"," 967,445"
ehime," 1,460,486"," 1,452,905"," 1,445,291"," 1,437,844"," 1,431,493"," 1,423,512"," 1,415,115"," 1,405,600"," 1,396,018"," 1,385,262"," 1,374,914"," 1,364,071"
kochi," 790,024"," 782,725"," 775,159"," 768,754"," 764,456"," 757,911"," 750,527"," 743,253"," 735,507"," 728,276"," 720,972"," 713,688"
fukuoka," 5,057,048"," 5,061,237"," 5,062,337"," 5,063,940"," 5,071,968"," 5,081,323"," 5,089,312"," 5,095,749"," 5,099,230"," 5,101,556"," 5,104,429"," 5,106,669"
saga," 862,900"," 859,644"," 856,364"," 852,777"," 849,788"," 847,369"," 844,665"," 841,420"," 837,368"," 832,832"," 828,369"," 823,773"
nagasaki," 1,467,357"," 1,455,386"," 1,443,067"," 1,433,611"," 1,426,779"," 1,417,650"," 1,408,288"," 1,397,442"," 1,387,340"," 1,377,187"," 1,366,792"," 1,354,038"
kumamoto," 1,838,148"," 1,831,588"," 1,826,425"," 1,820,933"," 1,817,426"," 1,812,712"," 1,807,197"," 1,801,467"," 1,794,623"," 1,786,170"," 1,774,179"," 1,765,315"
oita," 1,207,052"," 1,205,806"," 1,204,330"," 1,200,264"," 1,196,529"," 1,191,906"," 1,186,365"," 1,179,891"," 1,172,945"," 1,166,338"," 1,159,741"," 1,152,257"
miyazaki," 1,149,605"," 1,145,694"," 1,140,733"," 1,137,568"," 1,135,233"," 1,130,486"," 1,125,182"," 1,119,044"," 1,112,174"," 1,104,069"," 1,096,171"," 1,088,780"
kagoshima," 1,744,150"," 1,732,730"," 1,720,785"," 1,712,128"," 1,706,242"," 1,697,193"," 1,686,596"," 1,675,101"," 1,661,780"," 1,648,177"," 1,637,253"," 1,625,651"
okinawa," 1,369,034"," 1,374,475"," 1,377,934"," 1,384,812"," 1,392,818"," 1,402,260"," 1,411,329"," 1,418,731"," 1,425,618"," 1,433,566"," 1,439,338"," 1,443,116"
